equipment_code,ttf_h,duree_rep_h
TR-04,824.1,3.63
TR-04,933.13,9.64
TR-05,819.02,3.88
TR-01,47.88,4.64
TR-03,705.89,8.28
TR-04,1434.48,10.1
TR-04,1152.2,2.68
TR-04,899.06,2.64
TR-03,228.81,6.57
TR-03,1639.5,1.79
TR-03,904.69,5.88
TR-03,862.47,3.9
TR-05,859.0,2.82
TR-03,1191.95,2.7
TR-01,9.08,2.31
TR-03,731.84,2.45
TR-04,373.54,5.31
TR-05,692.56,9.62
TR-02,7315.86,7.69
TR-01,46.87,1.53
TR-02,70.28,6.7
TR-01,349.92,1.44
TR-04,1009.52,1.84
TR-04,1337.28,11.78
TR-05,806.2,4.06
TR-04,359.95,1.34
TR-01,1976.98,2.0
TR-04,950.2,6.08
TR-05,835.05,4.87
TR-03,94.16,1.56
TR-03,337.03,5.75
TR-04,857.18,3.65
TR-05,773.1,3.55
TR-04,885.45,7.53
TR-05,797.37,5.28
TR-02,3275.07,1.2
TR-04,494.23,2.8
TR-04,960.05,2.86
TR-04,867.07,1.73
TR-04,1046.81,2.84
TR-04,1244.9,2.89
TR-01,727.82,3.9
TR-05,583.56,2.34
TR-04,843.95,1.71
TR-02,1745.63,2.35
TR-05,678.53,6.06
TR-03,1731.31,4.4
TR-01,4.93,1.71
TR-05,613.44,3.24
TR-04,1249.1,4.18
TR-02,1197.84,3.73
TR-05,803.91,5.52
TR-04,1385.4,4.01
TR-04,1145.14,4.66
TR-03,2235.4,1.78
TR-05,537.86,2.74
TR-01,216.5,4.23
TR-01,838.73,6.81
TR-03,2845.77,1.28
TR-02,211.97,1.46
TR-01,395.16,2.79
TR-01,911.59,4.91
TR-01,259.49,5.76
TR-01,991.48,1.62
TR-02,753.24,3.72
TR-01,168.23,4.82
TR-04,897.73,6.11
TR-02,1688.45,2.4
TR-05,637.65,4.47
TR-01,3764.22,2.79
TR-02,2192.71,4.79
TR-01,19.99,2.95
TR-05,716.51,6.45
TR-05,921.24,4.67
TR-04,1652.36,2.24
TR-02,59.49,5.25
TR-01,320.58,3.42
TR-01,239.36,2.88
TR-01,1001.09,1.63
TR-04,623.08,1.52
TR-02,4246.08,6.76
TR-02,964.54,3.44
TR-01,124.25,1.95
TR-02,2907.52,3.53
TR-01,446.65,4.27
TR-02,792.34,2.93
TR-05,584.69,5.35
TR-03,358.24,9.97
TR-04,931.96,3.2
TR-05,648.23,3.49
TR-04,669.43,1.68
TR-04,640.52,1.11
TR-03,1335.34,3.12
TR-05,672.3,0.88
TR-05,903.25,2.52
TR-01,45.46,5.1
TR-02,146.8,10.38
TR-01,3045.02,2.48
TR-05,681.88,3.13
TR-05,382.4,3.13
TR-03,1398.23,4.89
TR-03,640.01,6.73
TR-01,998.02,3.7
TR-02,2097.97,1.35
TR-04,956.67,2.78
TR-05,891.96,6.02
TR-01,1822.08,2.27
TR-01,47.58,4.39
TR-01,6775.31,3.53
TR-03,640.36,3.3
TR-02,72.42,3.87
TR-04,807.0,2.66
TR-03,1996.41,2.55
TR-04,813.55,2.77
TR-03,1120.11,2.66
TR-05,831.77,3.11
TR-05,909.85,7.63
TR-05,507.47,6.58
TR-03,2731.79,2.98
TR-04,847.27,4.11
TR-03,423.61,2.37
TR-02,827.3,3.27
