equipment_code,heures_fonct
TR-01,52.8
TR-01,197.8
TR-01,662.0
TR-01,2260.0
TR-01,3149.3
TR-01,3914.4
TR-01,4310.7
TR-01,6831.0
TR-01,7387.8
TR-01,7505.9
TR-01,8499.8
TR-01,8652.3
TR-01,9126.3
TR-01,9881.1
TR-01,11876.0
TR-01,12603.9
TR-01,13830.9
TR-01,18203.4
TR-01,18378.6
TR-01,18747.8
TR-01,19300.6
TR-01,19899.1
TR-01,20479.2
TR-01,22740.8
TR-01,24004.7
TR-01,24976.5
TR-01,25396.2
TR-01,27095.1
TR-01,29967.7
TR-01,31653.8
TR-01,31656.7
TR-01,32699.1
TR-01,32770.8
TR-01,33115.6
TR-01,33198.2
TR-01,34160.2
TR-01,35340.1
TR-01,35493.4
TR-01,36028.6
TR-01,36687.4
TR-01,37198.9
TR-01,37360.6
TR-01,37954.2
TR-01,39344.5
TR-01,39441.9
TR-01,39551.1
TR-01,40040.0
TR-01,42694.1
TR-01,43822.4
TR-01,44979.3
TR-01,45479.5
TR-01,46417.7
TR-01,46433.9
TR-01,47475.5
TR-01,49791.5
TR-01,50774.5
TR-01,52765.7
TR-01,54061.9
TR-01,54223.0
TR-01,56437.9
TR-01,56529.4
TR-01,57337.5
TR-01,57526.5
TR-01,57545.1
TR-01,58143.9
TR-01,58542.5
TR-01,59256.1
TR-01,60156.8
TR-01,60218.9
TR-01,60383.2
TR-01,61243.1
TR-01,61714.0
TR-01,63027.4
TR-01,64111.4
TR-01,65926.9
TR-01,67124.3
TR-01,67736.7
TR-01,68877.3
TR-01,69247.4
TR-01,69662.6
TR-01,71201.2
TR-01,71842.4
TR-01,73421.7
TR-01,75113.8
TR-01,77000.0
TR-01,79349.7
TR-01,79963.9
TR-01,80397.9
TR-01,81309.8
TR-01,81824.6
TR-01,82780.2
TR-01,84017.4
TR-01,85202.7
TR-01,85722.9
TR-01,85944.3
TR-01,86557.8
TR-01,86747.4
TR-01,88859.4
TR-01,89334.5
TR-01,89539.6
TR-02,1302.6
TR-02,1890.6
TR-02,2016.6
TR-02,2742.5
TR-02,3275.1
TR-02,4711.9
TR-02,5919.4
TR-02,6554.0
TR-02,6920.9
TR-02,11792.3
TR-02,12613.8
TR-02,14090.5
TR-02,14328.4
TR-02,15221.9
TR-02,15274.3
