equipment_code,date_panne
TR-01,2023-01-22 14:38
TR-01,2023-02-27 14:58
TR-01,2023-04-15 20:33
TR-01,2023-05-11 15:50
TR-01,2023-06-23 23:37
TR-01,2023-08-07 13:35
TR-01,2023-08-28 21:40
TR-01,2023-10-07 18:13
TR-01,2023-11-27 00:15
TR-01,2024-01-02 23:19
TR-01,2024-01-10 04:34
TR-01,2024-01-16 14:25
TR-01,2024-02-16 10:38
TR-01,2024-04-19 16:08
TR-01,2024-05-14 13:16
TR-01,2024-06-26 13:55
TR-01,2024-07-21 03:02
TR-01,2024-08-19 09:34
TR-01,2024-10-13 20:28
TR-01,2024-11-30 15:42
TR-01,2024-12-17 14:06
TR-01,2025-01-20 12:48
TR-01,2025-01-30 20:57
TR-01,2025-03-08 01:24
TR-01,2025-04-21 10:27
TR-01,2025-05-10 00:23
TR-01,2025-06-06 19:01
TR-01,2025-07-09 09:51
TR-01,2025-09-09 18:48
TR-01,2025-12-01 01:34
TR-01,2025-12-13 09:59
TR-01,2026-02-01 00:52
TR-01,2026-03-04 12:31
TR-01,2026-04-05 21:46
TR-01,2026-05-25 03:14
TR-01,2026-07-26 08:54
TR-01,2026-10-01 10:22
TR-01,2026-11-10 19:50
TR-01,2026-12-11 16:09
TR-01,2027-01-31 21:43
TR-01,2027-02-26 21:16
TR-01,2027-04-07 16:45
TR-01,2027-05-08 14:36
TR-01,2027-06-21 16:52
TR-01,2027-07-17 03:59
TR-01,2027-08-09 02:50
TR-01,2027-10-10 07:57
TR-01,2027-10-27 17:44
TR-01,2027-12-04 00:08
TR-01,2027-12-28 11:45
TR-01,2028-01-09 03:11
TR-01,2028-01-20 09:48
TR-01,2028-02-11 11:01
TR-01,2028-04-08 10:44
TR-01,2028-05-05 22:13
TR-01,2028-07-11 21:38
TR-01,2028-08-21 11:57
TR-01,2028-09-24 18:49
TR-01,2028-11-04 07:29
TR-01,2028-12-12 01:03
TR-02,2023-01-21 07:02
TR-02,2023-03-04 05:02
TR-02,2023-04-20 11:19
TR-02,2023-06-01 06:23
TR-02,2023-06-23 08:04
TR-02,2023-07-28 10:16
TR-02,2023-08-21 07:14
TR-02,2023-09-14 20:28
TR-02,2023-09-29 18:39
TR-02,2023-10-27 10:02
TR-02,2023-11-10 15:26
TR-02,2023-11-29 21:53
TR-02,2024-01-08 01:37
TR-02,2024-01-23 01:56
TR-02,2024-02-01 00:33
TR-02,2024-02-09 20:06
TR-02,2024-03-27 08:33
TR-02,2024-04-21 05:02
TR-02,2024-05-12 23:06
TR-02,2024-06-18 13:55
TR-02,2024-07-26 13:46
TR-02,2024-08-14 20:42
TR-02,2024-09-15 05:32
TR-02,2024-10-19 21:18
TR-02,2024-11-18 18:40
TR-02,2024-12-01 14:58
TR-02,2025-01-11 04:10
TR-02,2025-02-06 01:46
TR-02,2025-02-23 17:26
TR-02,2025-03-17 23:30
TR-02,2025-03-24 15:00
TR-02,2025-04-05 10:43
TR-02,2025-05-09 20:19
TR-02,2025-05-10 00:24
TR-02,2025-05-31 23:53
TR-02,2025-06-26 08:29
TR-02,2025-07-04 06:11
TR-02,2025-08-25 06:02
TR-02,2025-09-09 22:58
TR-02,2025-09-28 07:58
TR-02,2025-10-16 16:46
TR-02,2025-11-01 13:23
TR-02,2025-11-03 01:56
TR-02,2025-12-05 21:29
TR-02,2026-01-25 12:18
TR-02,2026-02-10 03:39
TR-02,2026-03-12 08:29
TR-02,2026-04-14 16:52
TR-02,2026-05-23 10:44
TR-02,2026-06-14 14:49
TR-02,2026-07-02 22:49
TR-02,2026-07-22 00:22
TR-02,2026-08-23 03:23
TR-02,2026-09-29 01:44
TR-02,2026-10-13 02:58
TR-02,2026-11-02 15:43
TR-02,2026-12-15 05:11
TR-02,2027-01-20 14:46
TR-02,2027-03-17 04:52
TR-02,2027-04-20 02:14
TR-03,2023-02-10 02:53
TR-03,2023-02-19 09:06
TR-03,2023-03-24 14:40
TR-03,2023-05-06 11:56
TR-03,2023-05-21 02:20
TR-03,2023-07-08 05:59
TR-03,2023-08-12 13:57
TR-03,2023-10-22 21:11
TR-03,2023-10-29 08:34
TR-03,2023-11-17 22:46
TR-03,2023-12-24 06:19
TR-03,2024-01-14 08:51
TR-03,2024-02-26 14:25
TR-03,2024-04-13 01:05
TR-03,2024-04-23 21:25
TR-03,2024-05-25 13:01
TR-03,2024-06-25 22:34
TR-03,2024-07-20 12:31
TR-03,2024-09-25 05:15
TR-03,2024-11-16 12:56
TR-03,2024-12-28 14:52
TR-03,2025-02-09 20:16
TR-03,2025-03-10 21:19
TR-03,2025-05-14 06:33
TR-03,2025-06-25 04:22
TR-03,2025-08-08 10:10
TR-03,2025-10-03 08:38
TR-03,2025-10-23 09:03
TR-03,2025-12-12 18:57
TR-03,2025-12-28 20:49
TR-03,2026-01-21 07:22
TR-03,2026-02-13 06:47
TR-03,2026-05-05 15:00
TR-03,2026-06-29 23:24
TR-03,2026-08-11 07:35
TR-03,2026-09-24 10:08
TR-03,2026-10-28 13:59
TR-03,2027-01-06 12:34
TR-03,2027-02-06 06:49
TR-03,2027-03-03 09:39
TR-03,2027-03-17 18:28
TR-03,2027-05-05 09:09
TR-03,2027-06-19 00:16
TR-03,2027-07-14 07:30
TR-03,2027-07-19 02:43
TR-03,2027-09-10 13:59
TR-03,2027-09-13 15:24
TR-03,2027-10-26 03:38
TR-03,2028-01-11 12:36
TR-03,2028-02-08 09:27
TR-03,2028-02-26 11:45
TR-03,2028-04-09 01:50
TR-03,2028-05-30 09:48
TR-03,2028-07-02 17:48
TR-03,2028-09-16 19:56
TR-03,2028-09-24 02:04
TR-03,2028-10-25 06:39
TR-03,2028-12-07 18:50
TR-03,2029-02-01 19:56
TR-03,2029-02-17 01:40
TR-04,2023-01-28 15:34
TR-04,2023-02-13 04:36
TR-04,2023-04-04 11:04
TR-04,2023-04-21 09:10
TR-04,2023-05-15 04:54
TR-04,2023-06-07 04:59
TR-04,2023-07-27 23:46
TR-04,2023-09-04 19:07
TR-04,2023-10-20 04:55
TR-04,2023-11-10 12:27
TR-04,2023-12-17 03:38
TR-04,2024-01-20 12:09
TR-04,2024-03-08 07:18
TR-04,2024-05-01 09:25
TR-04,2024-05-06 15:47
TR-04,2024-06-14 12:38
TR-04,2024-06-24 14:51
TR-04,2024-07-28 00:34
TR-04,2024-08-19 22:13
TR-04,2024-09-12 14:59
TR-04,2024-10-08 04:51
TR-04,2024-11-13 16:16
TR-04,2024-12-08 11:48
TR-04,2025-01-19 06:25
TR-04,2025-02-15 21:34
TR-04,2025-02-27 08:23
TR-04,2025-04-12 23:20
TR-04,2025-05-05 19:05
TR-04,2025-06-03 13:04
TR-04,2025-07-12 22:56
TR-04,2025-08-06 16:55
TR-04,2025-08-17 05:00
TR-04,2025-09-12 14:59
TR-04,2025-11-10 17:31
TR-04,2025-12-18 02:43
TR-04,2026-01-25 20:42
TR-04,2026-03-03 19:46
TR-04,2026-03-22 19:20
TR-04,2026-04-19 23:36
TR-04,2026-06-01 17:38
TR-04,2026-06-15 11:24
TR-04,2026-07-07 23:09
TR-04,2026-07-30 09:22
TR-04,2026-08-28 02:37
TR-04,2026-11-03 19:50
TR-04,2026-11-15 05:04
TR-04,2026-12-17 09:16
TR-04,2027-01-04 10:08
TR-04,2027-03-09 23:43
TR-04,2027-03-24 11:07
TR-04,2027-04-21 01:24
TR-04,2027-06-02 02:34
TR-04,2027-07-12 10:47
TR-04,2027-08-09 19:14
TR-04,2027-09-04 02:52
TR-04,2027-10-01 11:27
TR-04,2027-10-23 09:19
TR-04,2027-11-11 16:02
TR-04,2027-12-12 09:53
TR-04,2028-01-03 12:08
TR-05,2023-03-27 08:43
TR-05,2023-05-04 12:16
TR-05,2023-05-13 03:08
TR-05,2023-05-21 15:36
TR-05,2023-08-08 00:27
TR-05,2023-08-29 05:54
TR-05,2023-09-07 21:40
TR-05,2023-10-15 18:17
TR-05,2023-11-24 04:40
TR-05,2024-01-04 06:45
TR-05,2024-01-23 22:43
TR-05,2024-01-27 02:07
TR-05,2024-04-19 12:33
TR-05,2024-05-08 07:40
TR-05,2024-06-20 07:48
TR-05,2024-08-04 14:16
TR-05,2024-09-12 03:32
TR-05,2024-10-04 04:28
TR-05,2024-10-24 01:05
TR-05,2024-11-30 19:38
TR-05,2025-01-30 23:02
TR-05,2025-04-17 20:51
TR-05,2025-04-28 10:22
TR-05,2025-05-11 23:07
TR-05,2025-07-27 06:48
TR-05,2025-09-12 22:13
TR-05,2025-11-15 12:42
TR-05,2025-12-01 17:46
TR-05,2026-01-07 21:14
TR-05,2026-02-21 17:41
TR-05,2026-04-06 00:52
TR-05,2026-05-03 01:10
TR-05,2026-05-06 05:26
TR-05,2026-06-12 02:01
TR-05,2026-06-30 23:56
TR-05,2026-07-30 06:15
TR-05,2026-10-18 17:55
TR-05,2026-11-14 06:40
TR-05,2027-01-11 01:05
TR-05,2027-01-26 11:33
TR-05,2027-03-10 05:35
TR-05,2027-06-07 20:52
TR-05,2027-06-18 04:10
TR-05,2027-06-20 08:31
TR-05,2027-07-18 17:18
TR-05,2027-07-28 09:58
TR-05,2027-09-15 01:12
TR-05,2027-11-23 03:58
TR-05,2027-12-21 13:18
TR-05,2028-01-09 18:20
TR-05,2028-02-07 04:10
TR-05,2028-03-24 18:08
TR-05,2028-03-27 01:15
TR-05,2028-05-03 07:30
TR-05,2028-06-11 01:49
TR-05,2028-07-21 10:25
TR-05,2028-08-08 18:17
TR-05,2028-09-23 14:29
TR-05,2028-10-03 05:10
TR-05,2028-10-19 05:48
