equipment_code,heures_fonct
TR-01,922.2
TR-01,1279.1
TR-01,2623.3
TR-01,3497.9
TR-01,3835.3
TR-01,5576.2
TR-01,6332.1
TR-01,6546.7
TR-01,7439.5
TR-01,7893.7
TR-01,9073.5
TR-01,10283.2
TR-01,12189.4
TR-01,12925.8
TR-01,13607.8
TR-01,14692.9
TR-01,14997.3
TR-01,15787.7
TR-01,16577.4
TR-01,16819.0
TR-01,17458.9
TR-01,18751.7
TR-01,20051.9
TR-01,20308.6
TR-01,20552.1
TR-01,21017.2
TR-01,22368.2
TR-01,22667.7
TR-01,23696.9
TR-01,23956.4
TR-01,24844.3
TR-01,25414.8
TR-01,26565.2
TR-01,26996.6
TR-01,27906.2
TR-01,28340.0
TR-01,29359.0
TR-01,30706.9
TR-01,31003.5
TR-01,32331.5
TR-01,33180.6
TR-01,33477.6
TR-01,34128.3
TR-01,34470.5
TR-01,35468.8
TR-01,36563.4
TR-01,36829.9
TR-01,37571.3
TR-01,38774.1
TR-01,40353.3
TR-02,750.2
TR-02,2407.5
TR-02,3184.3
TR-02,3797.5
TR-02,5077.5
TR-02,5803.5
TR-02,6504.9
TR-02,7227.8
TR-02,8504.3
TR-02,9745.4
TR-02,10369.1
TR-02,10914.1
TR-02,11638.8
TR-02,12461.4
TR-02,12898.2
TR-02,14058.5
TR-02,14776.8
TR-02,15322.7
TR-02,15590.7
TR-02,16028.1
TR-02,17679.4
TR-02,18192.7
TR-02,18545.1
TR-02,19233.6
TR-02,19749.2
TR-02,19890.7
TR-02,20424.4
TR-02,21211.4
TR-02,22007.7
TR-02,22578.8
TR-02,23252.0
TR-02,25018.7
TR-02,25613.0
TR-02,26073.0
TR-02,26515.8
TR-02,27201.0
TR-02,28296.7
TR-02,28695.2
TR-02,29707.3
TR-02,29813.6
TR-02,30454.6
TR-02,31580.1
TR-02,32131.2
TR-02,32942.4
TR-02,33339.6
TR-02,34405.0
TR-02,34582.3
TR-02,35873.2
TR-02,36262.2
TR-02,37612.1
TR-03,566.5
TR-03,1600.0
TR-03,2129.2
TR-03,3580.6
TR-03,3876.9
TR-03,4241.6
TR-03,4967.6
TR-03,5197.1
TR-03,5583.4
TR-03,7202.6
TR-03,9078.3
TR-03,9671.4
TR-03,11191.1
TR-03,11979.0
TR-03,12452.2
TR-03,13453.7
TR-03,14390.9
TR-03,16471.9
TR-03,16939.7
TR-03,17895.8
TR-03,18072.6
TR-03,18350.5
TR-03,18392.0
TR-03,21153.8
TR-03,22330.8
TR-03,23476.9
TR-03,24222.6
TR-03,24730.2
TR-03,25059.9
TR-03,25550.1
TR-03,26142.8
TR-03,27232.9
TR-03,28014.5
TR-03,28236.8
TR-03,28333.9
TR-03,28595.2
TR-03,29226.7
TR-03,30791.4
TR-03,31698.6
TR-03,32874.7
TR-03,33569.7
TR-03,34146.5
TR-03,34416.8
TR-03,35771.2
TR-03,36910.5
TR-03,37261.9
TR-03,38010.6
TR-03,38730.0
TR-03,39620.5
TR-03,41253.5
TR-04,831.4
TR-04,1613.7
TR-04,1787.1
TR-04,1984.2
TR-04,2359.8
TR-04,2495.1
TR-04,3562.8
TR-04,4597.3
TR-04,4906.6
TR-04,6157.4
TR-04,6491.7
TR-04,7000.6
TR-04,7449.8
TR-04,8038.5
TR-04,8494.3
TR-04,9215.6
TR-04,9843.6
TR-04,11870.1
TR-04,12054.3
TR-04,12371.9
TR-04,12550.2
TR-04,13441.7
TR-04,13623.3
TR-04,14874.9
TR-04,15623.2
TR-04,16389.5
TR-04,17198.1
TR-04,17553.0
TR-04,17941.3
TR-04,18470.1
TR-04,19319.0
TR-04,19722.4
TR-04,20004.2
TR-04,21812.3
TR-04,21920.9
TR-04,23098.8
TR-04,24247.4
TR-04,24751.9
TR-04,25060.6
TR-04,25382.8
TR-04,26376.6
TR-04,27291.3
TR-04,28429.7
TR-04,30015.6
TR-04,31001.1
TR-04,31336.7
TR-04,31779.6
TR-04,33044.9
TR-04,33447.3
TR-04,33661.2
TR-05,1002.8
TR-05,1625.3
TR-05,3131.4
TR-05,4056.4
TR-05,4299.5
TR-05,5942.2
TR-05,6402.5
TR-05,6951.9
TR-05,7574.1
TR-05,7749.4
TR-05,8479.5
TR-05,8771.2
TR-05,9392.0
TR-05,9956.5
TR-05,11076.3
TR-05,12255.2
TR-05,12587.6
TR-05,13169.8
TR-05,13759.7
TR-05,14089.5
TR-05,15258.7
TR-05,16267.7
TR-05,16647.1
TR-05,17229.5
TR-05,17496.0
TR-05,18390.7
TR-05,18679.6
TR-05,20694.0
TR-05,21828.6
TR-05,22437.3
TR-05,23267.1
TR-05,24738.7
TR-05,25538.0
TR-05,25897.5
TR-05,26493.3
TR-05,27761.0
TR-05,28677.5
TR-05,29603.2
TR-05,30931.8
TR-05,32342.0
TR-05,33847.0
TR-05,34097.0
TR-05,34884.0
TR-05,35946.9
TR-05,37038.0
TR-05,37904.1
TR-05,38253.9
TR-05,39421.1
TR-05,40450.4
TR-05,40686.7
