equipment_code,ttf_h
TR-01,"1391,39"
TR-02,"1 657,1 h"
TR-01,469
TR-03,"308,37"
TR-02,"1087,45"
TR-03,"619,5 h"
TR-01,766h
TR-01,911h
TR-03,1129h
TR-05,"1356,23"
TR-01,1002h
TR-02,--
TR-03,248h
TR-03,1 222
TR-03,"703,9 h"
TR-03,1 669
TR-05,279
TR-02,1 679
TR-05,390h
TR-03,"599,45"
TR-05,402
TR-04,"614,42"
TR-04,486h
TR-04,"988,36"
TR-04,1 120
TR-03,1148h
TR-05,"528,58"
TR-01,765h
TR-04,"328,67"
TR-04,1227h
TR-04,"172,45"
TR-03,"1501,34"
TR-01,"558,5 h"
TR-01,"1 111,3 h"
TR-05,"583,51"
TR-05,"420,7 h"
TR-01,1231h
TR-03,1282h
TR-01,1954h
TR-01,"770,46"
TR-03,"2 033,7 h"
TR-01,"1 380,5 h"
TR-03,1534h
TR-05,"63,59"
TR-05,"563,8 h"
TR-04,"2 537,8 h"
TR-01,"787,2 h"
TR-05,"213,6 h"
TR-02,"2697,09"
TR-03,843h
TR-03,"1 582,6 h"
TR-05,428h
TR-04,328h
TR-05,"51,1 h"
TR-04,"1028,76"
TR-02,"1 195,6 h"
TR-05,1 205
TR-05,"651,56"
TR-05,"845,1 h"
TR-02,1 241
TR-05,"126,46"
TR-04,581
TR-04,434
TR-03,"2 299,5 h"
TR-02,"885,33"
TR-04,610
TR-01,"1 251,8 h"
TR-04,"464,9 h"
TR-01,1 034
TR-02,"954,8 h"
TR-03,"2049,88"
TR-03,"2 217,1 h"
TR-01,536
TR-04,"860,8 h"
TR-04,353
TR-04,520
TR-04,"143,67"
TR-02,1574h
TR-01,"1 600,4 h"
TR-02,"859,32"
TR-03,"1 109,7 h"
TR-03,"1104,60"
TR-04,754h
TR-01,702h
TR-03,"1380,97"
TR-03,1 220
TR-02,712
TR-03,702
TR-03,"761,41"
TR-03,"3478,71"
TR-01,"644,6 h"
TR-02,"377,78"
TR-02,"690,0 h"
TR-04,"397,88"
TR-01,676h
TR-02,"1403,45"
TR-01,319h
TR-04,752
TR-04,455
TR-04,"127,5 h"
TR-03,878h
TR-01,"613,3 h"
TR-05,212
TR-04,156h
TR-03,"1 851,1 h"
TR-02,"819,2 h"
TR-01,1639h
TR-01,"1 547,6 h"
TR-05,76
TR-03,"154,41"
TR-04,"657,4 h"
TR-05,"1 045,9 h"
TR-05,"261,34"
TR-01,"1837,45"
TR-04,810
TR-05,"189,30"
TR-05,"1370,04"
TR-05,503h
TR-03,161h
TR-02,"989,3 h"
TR-05,"221,8 h"
TR-03,"774,1 h"
TR-05,208h
TR-04,"392,3 h"
TR-01,1 325
TR-04,"197,71"
TR-03,1695h
TR-03,3133h
TR-02,"765,35"
TR-02,"280,0 h"
TR-02,"104,4 h"
TR-02,740h
TR-02,1401h
TR-03,"1365,91"
TR-05,3833h
TR-04,"1 888,8 h"
TR-03,"480,10"
TR-03,"1 164,5 h"
TR-02,"517,5 h"
TR-02,"886,80"
TR-05,"306,6 h"
TR-05,325h
TR-03,1 299
TR-01,1783h
TR-03,1 877
TR-04,"1132,13"
TR-01,"2 148,0 h"
TR-04,150h
TR-03,532h
TR-03,"1 309,5 h"
TR-03,549h
TR-02,298h
TR-02,760h
TR-01,"295,66"
TR-03,"1771,44"
TR-03,"705,1 h"
TR-04,729
TR-01,1919h
TR-02,"284,58"
TR-02,950
TR-04,"486,8 h"
TR-05,1261h
TR-01,"791,01"
TR-03,"1093,49"
TR-04,"472,9 h"
TR-01,"610,9 h"
TR-04,1 277
TR-01,"2042,59"
TR-02,583h
TR-04,"1117,78"
TR-05,"449,07"
TR-01,"628,78"
TR-01,"609,6 h"
TR-02,"141,9 h"
TR-04,1 386
TR-04,429h
TR-02,"1377,65"
TR-02,1 205
TR-05,1 113
TR-03,607h
TR-03,685h
TR-02,"1 131,0 h"
TR-03,616
TR-01,"918,67"
TR-04,"632,47"
TR-04,173h
TR-02,1 139
TR-04,255h
TR-02,"813,31"
TR-05,"767,11"
TR-01,"1611,13"
TR-03,1167h
TR-05,595
TR-02,"906,8 h"
TR-01,672
TR-01,1595h
TR-03,554h
TR-03,"177,06"
TR-01,"1164,82"
TR-05,1 199
TR-04,1 860
TR-05,"1 118,2 h"
TR-02,1216h
TR-05,540h
TR-02,801
TR-04,1 487
TR-02,95h
TR-05,"258,93"
TR-02,1 375
TR-05,494
TR-04,"808,2 h"
TR-02,673h
TR-03,"1 538,9 h"
TR-01,156h
TR-02,1242h
TR-02,963h
TR-02,1 402
TR-02,1053h
TR-02,"514,71"
TR-03,377h
TR-02,"762,18"
TR-01,276h
TR-05,292
TR-02,513h
TR-01,2073h
TR-05,"198,42"
TR-02,533h
TR-02,1 479
TR-04,1 151
TR-04,279
TR-02,"1497,57"
TR-03,"3657,55"
TR-05,"75,47"
TR-05,337
TR-03,1941h
TR-04,1271h
TR-05,1 242
TR-01,280
TR-05,"330,61"
TR-02,"1 092,0 h"
TR-05,1 001
TR-03,1523h
TR-03,"894,49"
TR-05,43h
TR-04,"767,6 h"
TR-03,"1245,64"
TR-04,636h
TR-01,"1263,52"
TR-01,"894,6 h"
TR-01,n/a
TR-01,689
TR-05,1 002
TR-04,349
TR-05,119
TR-05,853h
TR-01,"872,81"
TR-01,966h
TR-02,537h
TR-02,484
TR-04,"1800,62"
TR-05,"146,0 h"
TR-05,517
TR-03,582h
TR-04,"411,89"
TR-02,"744,2 h"
TR-05,244
TR-05,"659,57"
TR-02,872
TR-01,"1147,96"
TR-05,596
TR-05,56h
TR-05,"455,79"
TR-03,"1984,05"
TR-03,808
TR-01,1012h
TR-05,"1 544,2 h"
TR-04,"1574,11"
TR-05,"1 128,4 h"
TR-04,425h
TR-01,"988,27"
TR-01,983h
TR-05,280
TR-04,1 163
TR-05,565
TR-03,1544h
TR-05,1532h
TR-04,1 328
TR-02,2 054
TR-03,"3 928,7 h"
TR-05,161
TR-02,1 183
TR-05,435
TR-01,"379,86"
TR-04,"234,2 h"
TR-02,"374,6 h"
TR-04,"92,5 h"
TR-01,1 286
TR-01,"121,9 h"
TR-01,"641,68"
TR-05,"747,5 h"
TR-04,1 335
TR-03,295
TR-03,"177,18"
TR-02,284
TR-03,731h
TR-05,247h
TR-05,"2,5 h"
TR-02,75h
TR-02,987h
TR-04,176
TR-01,1247h
TR-03,707
TR-03,181
TR-05,1104h
TR-02,"736,57"
TR-02,1529h
TR-04,"251,7 h"
TR-01,"1 047,5 h"
TR-03,"1211,73"
TR-05,"538,55"
TR-03,1 137
TR-04,"243,30"
TR-05,279
TR-02,1 188
TR-02,"862,0 h"
TR-01,"1571,38"
TR-02,796
TR-03,en attente
TR-05,2066h
TR-01,470h
TR-01,1 402
TR-02,466
TR-05,179h
TR-04,562
TR-02,1 118
TR-04,603h
TR-01,"610,89"
TR-04,"143,9 h"
TR-02,"295,44"
TR-04,"1345,61"
TR-01,"726,78"
TR-01,"1 038,3 h"
TR-04,"1 108,2 h"
TR-01,"896,6 h"
TR-02,420h
TR-02,962
TR-04,"329,16"
TR-03,573
TR-01,"699,17"
TR-04,"786,46"
TR-04,175h
TR-03,1 401
TR-04,"1 241,6 h"
TR-02,279
TR-04,"883,4 h"
TR-01,1988h
TR-03,570
TR-05,736h
TR-05,945
TR-02,"1 595,4 h"
TR-01,"370,0 h"
TR-03,"2 223,9 h"
TR-01,"846,8 h"
TR-02,"984,0 h"
TR-01,1 503
TR-02,842h
TR-03,126h
TR-05,1604h
TR-04,264h
TR-03,"1 800,0 h"
TR-02,791h
TR-05,680h
TR-05,1 645
TR-04,"312,77"
TR-01,512h
TR-01,1 188
TR-01,"1 221,0 h"
TR-05,"1 024,8 h"
TR-01,1449h
TR-05,718h
TR-04,"89,3 h"
TR-02,917
TR-03,"1 730,3 h"
TR-03,485h
TR-04,"379,1 h"
TR-02,"1442,58"
TR-02,"1 612,2 h"
TR-03,96
TR-04,"403,02"
TR-04,"135,4 h"
TR-01,260h
TR-03,"1 599,1 h"
TR-05,1 054
TR-02,695
TR-03,"606,72"
TR-04,1 864
TR-05,"191,89"
TR-01,"2158,42"
TR-04,"255,1 h"
TR-01,"290,9 h"
TR-01,"1507,88"
TR-01,"2020,95"
TR-03,1 371
