equipment_code,ttf_h
TR-01,2.7777777777777777e-10
TR-01,2.7777777777777777e-10
TR-01,2.7777777777777777e-10
TR-01,2.7777777777777777e-10
TR-01,2.7777777777777777e-10
TR-01,2.7777777777777777e-10
TR-01,5.555555555555555e-10
TR-01,2.7777777777777777e-10
TR-01,5.555555555555555e-10
TR-01,2.7777777777777777e-10
TR-01,2.7777777777777777e-10
TR-01,8.333333333333334e-10
TR-01,2.7777777777777777e-10
TR-01,2.7777777777777777e-10
TR-01,2.7777777777777777e-10
TR-01,8.333333333333334e-10
TR-01,5.555555555555555e-10
TR-01,2.7777777777777777e-10
TR-01,5.555555555555555e-10
TR-01,8.333333333333334e-10
TR-01,2.7777777777777777e-10
TR-01,5.555555555555555e-10
TR-01,2.7777777777777777e-10
TR-01,3.8888888888888884e-09
TR-01,2.777777777777778e-09
TR-01,5.555555555555555e-10
TR-01,8.333333333333334e-10
TR-01,2.222222222222222e-09
TR-01,3.3333333333333334e-09
TR-01,8.333333333333334e-10
TR-01,3.3333333333333334e-09
TR-01,1.9444444444444442e-09
TR-02,2.7777777777777777e-10
TR-02,2.7777777777777777e-10
TR-02,2.7777777777777777e-10
TR-02,2.7777777777777777e-10
TR-02,2.7777777777777777e-10
TR-02,8.333333333333334e-10
TR-02,2.7777777777777777e-10
TR-02,2.7777777777777777e-10
TR-02,2.7777777777777777e-10
TR-02,2.7777777777777777e-10
TR-02,2.7777777777777777e-10
TR-02,5.555555555555555e-10
TR-02,2.7777777777777777e-10
TR-02,5.555555555555555e-10
TR-02,5.555555555555555e-10
TR-02,4.722222222222223e-09
TR-02,1.6666666666666667e-09
TR-02,3.3333333333333334e-09
TR-03,5.555555555555555e-10
TR-03,2.7777777777777777e-10
TR-03,2.7777777777777777e-10
TR-03,2.7777777777777777e-10
TR-03,2.7777777777777777e-10
TR-03,5.555555555555555e-10
TR-03,2.7777777777777777e-10
TR-03,1.9444444444444442e-09
