equipment_code,ttf_h,duree_rep_h
TR-03,1566.34,3.09
TR-05,515.43,1.72
TR-03,224.25,8.27
TR-02,1233.79,2.61
TR-02,375.65,2.66
TR-05,1765.63,2.21
TR-02,348.51,3.82
TR-05,1598.03,2.56
TR-02,702.04,3.13
TR-01,2012.29,5.62
TR-03,1091.01,9.54
TR-01,779.55,3.71
TR-05,211.75,7.39
TR-02,604.54,3.16
TR-05,1198.17,3.97
TR-01,858.69,2.23
TR-01,1040.58,2.79
TR-01,1479.14,4.07
TR-04,1021.81,2.84
TR-03,1842.68,6.44
TR-04,328.01,3.37
TR-03,806.95,2.44
TR-03,1740.54,4.18
TR-03,1986.75,8.44
TR-03,837.1,2.98
TR-01,2622.39,2.91
TR-01,789.69,1.04
TR-04,49.22,4.57
TR-03,613.67,2.41
TR-02,762.64,4.84
TR-05,487.86,1.34
TR-04,824.91,1.89
TR-04,295.27,7.83
TR-03,545.4,5.17
TR-03,678.55,1.88
TR-02,1154.38,5.14
TR-01,2414.81,9.31
TR-04,906.55,1.52
TR-04,374.26,6.88
TR-04,907.59,2.71
TR-05,1295.33,2.37
TR-04,980.25,4.89
TR-01,1958.91,2.38
TR-01,1255.99,1.49
TR-01,1288.58,4.52
TR-03,792.14,6.99
TR-03,1182.75,4.33
TR-01,2721.49,6.8
TR-03,669.33,2.2
TR-05,1483.68,1.9
TR-04,493.28,6.81
TR-01,820.34,4.75
TR-04,808.7,6.96
TR-01,367.9,2.38
TR-01,2713.16,6.13
TR-03,287.06,5.54
TR-05,1666.26,5.81
TR-04,1191.44,3.74
TR-03,651.05,3.17
TR-04,3505.12,1.95
TR-02,860.4,4.29
TR-02,164.68,6.08
TR-02,277.09,7.92
TR-04,105.81,6.83
TR-05,1113.53,4.15
TR-05,602.02,2.58
TR-03,1281.68,5.43
TR-05,295.17,6.33
TR-03,1694.33,3.96
TR-01,792.73,1.92
TR-04,718.98,4.09
TR-02,910.7,1.84
TR-02,1681.95,2.76
TR-05,1154.54,4.9
TR-03,1135.96,3.69
TR-01,2120.46,1.84
TR-01,1563.22,4.14
TR-05,1491.0,6.41
TR-02,730.09,2.96
TR-04,331.23,2.6
TR-02,1898.96,2.84
TR-04,1950.94,1.89
TR-04,330.85,7.19
TR-04,425.2,8.19
TR-05,719.89,5.55
TR-05,1140.53,3.17
TR-03,990.46,4.82
TR-05,648.62,3.75
TR-03,538.84,5.02
TR-03,185.92,3.4
TR-04,1149.05,2.53
TR-01,2630.39,2.75
TR-03,744.2,4.46
TR-05,1028.61,3.69
TR-03,173.18,8.26
TR-04,873.96,6.16
TR-03,378.73,13.45
TR-03,1111.05,3.21
TR-02,1395.1,3.99
TR-01,1672.42,2.17
TR-02,854.56,4.8
TR-01,566.16,4.51
TR-05,969.07,3.77
TR-01,681.55,2.5
TR-03,1141.48,7.48
TR-05,1503.86,3.43
TR-02,844.26,2.76
TR-03,1691.11,4.13
TR-02,1181.16,3.54
TR-05,1542.66,1.38
TR-03,1055.7,2.55
TR-04,1496.64,5.97
TR-05,743.49,4.38
TR-01,751.66,4.62
TR-05,941.65,3.6
TR-01,990.69,5.56
TR-04,508.06,3.76
TR-03,1944.6,3.7
TR-01,847.96,3.9
TR-04,1622.52,2.23
TR-01,2853.43,5.02
TR-02,347.04,2.63
TR-01,505.69,1.53
TR-01,1838.54,1.37
TR-03,1370.58,5.52
TR-04,304.47,4.96
TR-04,1045.06,3.27
TR-04,535.44,2.69
TR-04,1143.47,2.05
TR-04,1290.38,3.62
TR-03,170.79,6.35
TR-02,697.06,5.24
TR-04,456.17,1.28
TR-01,505.74,3.08
TR-05,1454.2,2.53
TR-05,812.02,4.59
TR-04,471.16,1.84
TR-05,906.39,3.92
TR-02,676.97,2.86
TR-04,176.81,2.7
TR-01,1848.62,2.38
TR-01,1327.44,4.44
TR-05,1009.31,4.92
TR-03,862.61,4.6
TR-01,2145.64,5.46
TR-03,1135.1,3.86
TR-03,351.09,2.04
TR-05,614.59,1.93
TR-03,1266.86,7.27
TR-03,2435.58,3.38
TR-02,1244.85,0.9
TR-05,2335.63,5.51
TR-01,133.37,1.94
TR-03,1898.31,12.29
TR-01,221.66,5.78
TR-03,1453.33,7.2
TR-04,630.21,3.17
TR-04,812.34,3.48
TR-01,1850.61,4.76
TR-02,390.49,4.42
TR-01,1561.07,2.07
TR-02,683.69,4.94
TR-01,2401.54,8.1
TR-04,744.63,2.77
TR-05,1718.4,2.32
TR-03,383.37,4.13
TR-02,614.38,4.13
TR-03,457.9,4.41
TR-04,123.3,2.16
TR-01,2629.63,1.85
TR-02,749.03,4.36
TR-01,276.81,4.27
TR-03,1288.31,7.08
TR-03,799.72,4.73
TR-03,304.34,1.78
TR-02,1517.67,4.95
TR-01,1304.68,2.42
TR-03,323.47,3.93
TR-05,664.72,4.57
TR-05,1962.83,2.51
TR-02,420.18,4.67
TR-01,3004.54,4.43
TR-04,1386.26,11.08
TR-04,1063.05,3.44
TR-03,1495.03,4.47
TR-02,868.41,3.49
TR-02,779.06,2.54
TR-02,932.75,2.8
TR-03,501.06,4.94
TR-05,2424.54,3.8
TR-04,1429.52,5.07
TR-05,1246.78,3.69
TR-02,839.34,3.06
TR-03,854.89,2.0
TR-05,982.33,6.52
TR-03,536.95,3.27
TR-05,1639.73,4.05
TR-03,259.96,5.5
TR-04,345.88,4.99
TR-02,809.48,4.45
TR-02,795.87,3.99
TR-05,1820.81,4.44
TR-05,1049.93,4.37
TR-01,569.31,4.8
TR-03,1180.24,3.53
TR-04,1964.96,3.55
TR-01,468.21,2.5
TR-02,563.55,4.87
TR-02,513.96,12.28
TR-05,1989.72,5.56
TR-04,143.04,2.39
TR-02,564.76,2.28
TR-05,1046.35,3.91
TR-03,1242.62,9.72
TR-05,1762.07,3.48
TR-02,1600.41,4.31
TR-02,738.02,5.85
TR-01,463.67,3.12
TR-05,1359.97,3.05
TR-01,2238.33,3.17
TR-02,269.81,6.65
TR-05,1617.6,5.18
TR-02,719.29,3.62
TR-05,222.59,2.18
TR-03,383.17,5.31
TR-04,1229.58,2.67
TR-01,314.04,2.67
TR-04,574.96,6.31
TR-05,684.46,3.36
TR-05,1550.53,2.48
TR-01,1572.17,7.08
TR-02,510.48,6.18
TR-05,1563.74,2.66
TR-03,1850.53,6.25
TR-04,945.16,7.91
TR-05,568.1,2.56
TR-02,590.91,1.81
TR-04,1134.56,3.71
TR-01,2498.67,2.22
TR-01,562.73,3.48
TR-04,407.8,2.26
TR-01,1575.29,2.06
TR-02,401.99,2.04
TR-04,1099.52,3.22
TR-04,803.69,4.07
TR-02,831.41,3.09
TR-05,342.89,2.54
TR-03,1145.45,4.53
TR-01,1765.19,2.36
TR-03,624.5,4.3
TR-02,1414.71,3.9
TR-01,1564.37,7.33
TR-02,592.87,4.65
TR-04,1220.91,2.16
TR-05,368.36,2.26
TR-04,618.52,5.09
TR-05,1334.69,2.74
TR-05,728.36,2.11
TR-05,1453.9,6.63
TR-02,482.55,1.68
TR-01,398.58,3.0
TR-05,719.41,7.01
TR-01,690.36,2.81
TR-01,1086.6,1.42
TR-04,1486.97,5.38
TR-03,1886.37,4.45
TR-02,1076.7,3.49
TR-03,1691.78,5.81
TR-03,1542.22,1.63
TR-01,663.01,1.47
TR-03,475.68,2.97
TR-01,2051.21,2.95
TR-05,1864.16,4.56
TR-01,599.21,3.37
TR-05,421.39,4.26
TR-04,1929.21,3.81
TR-05,1694.25,3.44
TR-03,2061.27,7.68
TR-04,172.3,3.2
TR-02,243.54,1.95
TR-04,1483.18,6.9
TR-05,887.72,4.77
TR-01,1997.67,6.15
TR-02,588.3,3.28
TR-03,198.84,5.74
TR-02,464.45,6.01
TR-05,855.67,1.28
TR-01,2901.38,6.1
TR-03,274.43,5.79
TR-05,638.41,3.11
TR-04,313.79,4.91
TR-01,1365.23,6.18
TR-02,125.21,4.95
TR-03,2660.03,4.29
TR-05,1005.07,3.79
TR-03,1435.28,4.93
TR-03,1837.63,5.36
TR-01,928.12,3.08
TR-02,844.4,2.58
TR-02,691.24,2.58
TR-04,1469.79,5.01
TR-04,1151.52,1.05
TR-04,1947.38,6.48
TR-05,2047.3,8.57
TR-04,1114.19,2.35
TR-02,440.45,1.6
TR-05,998.55,3.43
TR-01,1279.46,2.06
TR-04,1150.31,4.29
TR-04,535.14,3.13
TR-04,560.85,2.72
TR-01,863.08,2.83
TR-05,1169.87,2.45
TR-05,1862.14,3.22
TR-05,549.13,3.99
TR-04,768.29,3.86
TR-02,1267.08,8.67
TR-01,1344.91,4.36
TR-02,1202.99,2.67
TR-05,956.52,3.21
TR-05,739.65,4.01
TR-02,761.65,5.61
TR-03,1956.84,15.01
TR-02,171.5,5.7
TR-01,1858.57,3.16
TR-05,579.07,2.41
TR-03,1093.25,4.03
TR-01,307.46,2.76
TR-03,190.98,4.76
TR-03,951.73,3.47
TR-03,1359.68,6.2
TR-03,1014.42,5.99
TR-05,1198.95,3.38
TR-02,1043.15,1.39
TR-04,1061.87,1.72
TR-04,667.68,1.67
TR-02,1521.66,2.75
TR-02,1022.52,7.84
TR-01,1319.03,4.8
TR-04,733.31,2.86
TR-04,1130.69,8.52
TR-05,724.03,3.94
TR-03,521.97,5.57
TR-05,645.96,1.98
TR-04,954.02,6.84
TR-02,1129.39,9.57
