code,nom,famille,quantite_dispo,seuil_min,localisation,prix_unitaire,fournisseur
DISJ,Disjoncteur,Disjoncteur,4,5,DKC,500.0,proton SARL
ISO_ISOLATEURS_MT,Isolateurs de traversée MT,Isolation & traversées,0,0,,0.0,
ISO_BAGUES_ISO,Bagues d’isolement (bakélite ou composite),Isolation & traversées,0,0,,0.0,
OLTC_CONTACTS_MOBILES,Jeu de contacts mobiles OLTC,OLTC (changeur de prises),0,0,,0.0,
OLTC_CONTACTS_FIXES,Jeu de contacts fixes OLTC,OLTC (changeur de prises),0,0,,0.0,
OLTC_RESSORTS_CONTACTS,Ressorts de contacts OLTC,OLTC (changeur de prises),0,0,,0.0,
OLTC_JOINTS_SPEC,Joints spécifiques OLTC,OLTC (changeur de prises),0,0,,0.0,
OLTC_CARTOUCHE_FILTRE,Cartouche(s) filtre huile OLTC,OLTC (changeur de prises),0,0,,0.0,
OLTC_SILICE,Silice dessiccateur OLTC,OLTC (changeur de prises),0,0,,0.0,
OLTC_MOTEUR,Moteur d’entraînement OLTC,OLTC (changeur de prises),0,0,,0.0,
OLTC_CAPTEURS_POSITION,Fin de course / capteur de position OLTC,OLTC (changeur de prises),0,0,,0.0,
REF_VENTILATEURS,Ventilateurs complets,Refroidissement (ONAN/ONAF),0,0,,0.0,
REF_MOTEURS_VENTILO,Moteurs de ventilateurs seuls,Refroidissement (ONAN/ONAF),0,0,,0.0,
REF_POMPES_HUILE,Pompes à huile de circulation,Refroidissement (ONAN/ONAF),0,0,,0.0,
REF_JOINTS_POMPE,Joints de pompe (kit garnitures),Refroidissement (ONAN/ONAF),0,0,,0.0,
REF_THERMOSTATS,Thermostats / capteurs de température,Refroidissement (ONAN/ONAF),0,0,,0.0,
REF_CONTACTEURS_VENTILO,Contacteurs / relais de puissance ventilateurs,Refroidissement (ONAN/ONAF),0,0,,0.0,
PROT_BUCHHOLZ,Relais Buchholz (complet),Protection & mesure,0,0,,0.0,
PROT_KIT_BUCHHOLZ,Kit flotteurs / contacts internes Buchholz,Protection & mesure,0,0,,0.0,
PROT_INDIC_HUILE,Indicateurs de niveau d’huile,Protection & mesure,0,0,,0.0,
PROT_THERMOMETRES,Thermomètres d’huile (analogiques),Protection & mesure,0,0,,0.0,
PROT_TC,Transformateurs de courant (TC) de protection,Protection & mesure,0,0,,0.0,
PROT_TT,Transformateurs de tension (TT),Protection & mesure,0,0,,0.0,
PROT_FUSIBLES,Fusibles HT/MT (toutes intensités utilisées),Protection & mesure,0,0,,0.0,
INST_PT100,Sondes PT100 / PT1000,Instrumentation & contrôle,0,0,,0.0,
INST_RELAIS_AUX,Relais auxiliaires (24/48/110 V),Instrumentation & contrôle,0,0,,0.0,
INST_VOYANTS,Voyants lumineux de signalisation,Instrumentation & contrôle,0,0,,0.0,
INST_BP,Boutons poussoirs (marche/arrêt),Instrumentation & contrôle,0,0,,0.0,
INST_SELECTEURS,Sélecteurs de commande locale/distante,Instrumentation & contrôle,0,0,,0.0,
INST_BORNIERS,Borniers de raccordement,Instrumentation & contrôle,0,0,,0.0,
CONS_SILICE_MAIN,Silice déshydratante dessiccateur principal,Consommables & annexes,0,0,,0.0,
CONS_HUILE_NEUVE,Huile isolante neuve,Consommables & annexes,0,0,,0.0,
CONS_RUBAN_ETANCHE,Ruban d’étanchéité compatible huile,Consommables & annexes,0,0,,0.0,
CONS_JOINTS_STD,"Joints standards (fibre, nitrile, viton)",Consommables & annexes,0,0,,0.0,
CONS_PEINTURE,"Peinture anticorrosion (cuve, radiateurs)",Consommables & annexes,0,0,,0.0,
STR_RADIATEUR,Radiateur complet,Éléments structurels,0,0,,0.0,
STR_CONSERVATEUR,Conservateur d’huile complet,Éléments structurels,0,0,,0.0,
STR_OLTC_COMPLET,OLTC complet (bloc),Éléments structurels,0,0,,0.0,
STR_TRANSFO_SECOURS,Transformateur de secours (plus petite puissance),Éléments structurels,0,0,,0.0,
EC_JOINTS_CUVE,,,50,4,,0.0,
EC_JOINTS_RADIATEURS,,,0,3,,0.0,
EC_JOINTS_CONSERVATEUR,,,0,3,,0.0,
EC_JOINTS_TORIQUES,,,0,5,,0.0,
EC_PRESSE_ETOUPES,,,0,4,,0.0,
EC_BOULONNERIE,,,0,3,,0.0,
ISO_ISOLATEURS_HT,,,0,5,,0.0,
