ts,level,code,msg,value,threshold,processed,site,equipment
tr_220_20,WARN,OVERCURRENT,Surcourant primaire,1.121873938647075,1.0434782608695652,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,232.60277028624043,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,210.31208229514132,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,210.81392001146443,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,212.0097260670454,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,211.3736317472216,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,210.52102950231375,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,211.81777781178567,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,211.06005926192364,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,210.10356073455668,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,210.30920439320812,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.17201057416983,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.69207752561687,200.0,1,,
tr_220_20,ALARM,TEMP_HIGH,Temp noyau élevée,71.0,70.0,1,,
tr_220_20,WARN,OIL_LOW_VISC,Viscosité réduite,0.0041949265250046,0.01,1,,
tr_220_20,WARN,OVERLOAD,Surcharge,213.38647721834997,200.0,1,,
