ts,v_sec,i_sec,p_sec,t_core,v_prim_rms,i_prim_rms,pf_prim,freq,status
1761660574.203251,19.824,10.174,201.7,35.15,219.63,0.945,0.972,50.03,OK
1761660574.310423,19.826,10.193,202.09,35.31,219.8,0.969,0.949,49.98,OK
1761660574.4115834,19.823,10.252,203.23,35.46,220.19,0.96,0.961,50.02,OK
1761660574.512735,19.802,10.266,203.28,35.61,219.92,0.985,0.938,50.0,OK
1761660574.6136901,19.833,10.169,201.69,35.75,220.27,0.978,0.936,50.05,OK
1761660574.7148113,19.843,10.262,203.63,35.9,220.05,0.967,0.957,50.04,OK
1761660574.81624,19.885,10.158,202.0,36.04,219.61,0.99,0.929,49.99,OK
1761660574.9176033,19.808,10.27,203.43,36.19,220.4,0.951,0.97,49.96,OK
1761660575.0195596,19.803,10.385,205.66,36.33,220.07,0.974,0.959,49.99,OK
1761660575.1209826,19.848,10.309,204.61,36.47,219.99,1.005,0.925,49.99,OK
1761660575.2226348,19.836,10.201,202.35,36.61,220.35,0.946,0.971,50.03,OK
1761660575.32428,19.867,10.231,203.26,36.75,219.65,0.958,0.966,50.01,OK
1761660575.4252954,19.864,10.361,205.81,36.88,219.68,0.959,0.977,49.98,OK
1761660575.5265226,19.859,10.338,205.3,37.02,220.01,1.012,0.922,50.02,OK
1761660575.6279097,19.88,10.172,202.22,37.15,219.67,0.965,0.954,50.01,OK
1761660575.7292564,19.879,10.359,205.93,37.28,220.15,0.97,0.965,49.95,OK
1761660575.830525,19.814,10.391,205.9,37.41,219.66,0.98,0.956,50.04,OK
1761660575.9328952,19.832,10.383,205.93,37.54,219.98,0.961,0.975,50.02,OK
1761660576.034673,19.808,10.311,204.25,37.67,219.87,0.965,0.963,50.02,OK
1761660576.1371484,19.866,10.246,203.54,37.8,219.87,0.976,0.948,50.03,OK
1761660576.2381825,19.815,10.237,202.84,37.92,220.2,0.975,0.945,49.96,OK
1761660576.3393004,19.851,10.349,205.44,38.05,220.18,0.976,0.956,50.05,OK
1761660576.4407012,19.81,10.219,202.45,38.17,220.1,0.994,0.925,50.0,OK
1761660576.5423567,19.83,10.238,203.03,38.29,220.06,0.949,0.972,50.04,OK
1761660576.643792,19.875,10.246,203.64,38.41,220.4,0.966,0.957,50.03,OK
1761660576.7449756,19.85,10.179,202.05,38.53,220.21,0.976,0.94,50.02,OK
1761660576.8460402,19.879,10.168,202.13,38.65,219.95,0.986,0.932,50.02,OK
1761660576.947868,19.878,10.246,203.67,38.77,219.71,0.984,0.942,50.02,OK
1761660577.0500286,19.831,10.26,203.47,38.89,220.07,0.951,0.972,49.96,OK
1761660577.1516426,19.8,10.305,204.03,39.0,220.13,0.985,0.941,50.01,OK
1761660577.2531915,19.816,10.323,204.56,39.11,220.23,0.982,0.946,49.95,OK
1761660577.3550282,19.816,10.329,204.68,39.23,220.37,0.998,0.931,50.02,OK
1761660577.4568574,19.793,10.35,204.86,39.34,220.37,0.973,0.956,50.04,OK
1761660577.55867,19.846,10.232,203.07,39.45,220.32,0.948,0.972,50.0,OK
1761660577.660526,19.805,10.362,205.21,39.56,219.63,1.003,0.932,50.03,OK
1761660577.7629426,19.79,10.338,204.6,39.67,219.7,0.971,0.959,50.03,OK
1761660577.864188,19.794,10.326,204.39,39.77,220.14,0.96,0.968,49.97,OK
1761660577.965916,19.854,10.177,202.05,39.88,219.9,0.965,0.952,50.01,OK
1761660578.0673728,19.795,10.189,201.7,39.98,220.31,0.971,0.943,50.02,OK
1761660578.168694,19.874,10.201,202.74,40.09,220.16,0.943,0.976,50.03,OK
1761660578.2701533,19.869,10.145,201.57,40.19,220.26,0.977,0.936,49.95,OK
1761660578.3726447,19.871,10.248,203.64,40.29,219.62,0.954,0.972,50.01,OK
1761660578.4747026,19.835,10.273,203.75,40.39,220.34,0.998,0.927,50.02,OK
1761660578.5761619,19.849,10.154,201.55,40.49,219.87,0.936,0.979,49.96,OK
1761660578.6782882,19.794,10.261,203.11,40.59,220.11,0.98,0.941,49.97,OK
1761660578.7797358,19.889,10.157,202.02,40.69,220.35,0.94,0.975,49.95,OK
1761660578.8812063,19.866,10.291,204.45,40.79,219.96,0.993,0.936,50.05,OK
1761660578.9822605,19.851,10.132,201.14,40.88,219.85,0.993,0.921,50.03,OK
1761660579.083803,19.8,10.208,202.11,40.98,219.8,0.972,0.946,49.96,OK
1761660579.1864276,19.883,10.12,201.21,41.07,219.71,0.969,0.945,50.04,OK
1761660579.2878954,19.862,10.238,203.35,41.16,219.81,0.989,0.935,49.96,OK
1761660579.3891492,19.855,10.173,201.98,41.26,220.1,0.997,0.921,49.95,OK
1761660579.490855,19.836,10.255,203.41,41.35,219.78,0.979,0.945,50.03,OK
1761660579.5923057,19.869,10.162,201.9,41.44,219.93,0.986,0.931,50.01,OK
1761660579.6937273,19.819,10.267,203.48,41.53,220.25,0.977,0.946,49.96,OK
1761660579.7952294,19.88,10.198,202.74,41.62,219.69,0.965,0.957,50.04,OK
1761660579.8964038,19.814,10.142,200.96,41.7,220.25,0.973,0.938,50.03,OK
1761660579.997885,19.813,10.202,202.14,41.79,220.05,0.958,0.959,49.98,OK
1761660580.0996027,19.802,10.063,199.26,41.88,220.07,0.936,0.967,50.0,OK
1761660580.2007892,19.87,10.156,201.81,41.96,219.92,0.95,0.966,50.04,OK
1761660580.3021154,19.81,10.18,201.67,42.05,220.25,0.957,0.957,50.0,OK
1761660580.403178,19.803,10.222,202.43,42.13,220.16,0.984,0.935,49.97,OK
1761660580.5052776,19.877,10.113,201.02,42.21,220.29,0.943,0.968,50.05,OK
1761660580.6062326,19.807,10.112,200.29,42.29,220.21,0.945,0.962,49.97,OK
1761660580.7074568,19.802,10.089,199.78,42.37,220.16,0.956,0.95,49.96,OK
1761660580.8090408,19.845,10.062,199.68,42.45,219.79,0.963,0.943,49.95,OK
