equipment_code,date_panne,heures_fonct,duree_rep_h
TR-05,2027-01-22,26826,4.8
TR-05,2027-04-06,28605,2.9
TR-02,2028-10-10,41857,2.8
TR-01,2029-10-02,50429,5.9
TR-01,2026-04-19,20143,5.5
TR-01,2027-07-02,30679,2.6
TR-01,2027-10-17,33248,4.4
TR-01,2024-12-24,8601,5.6
TR-05,2027-09-09,32330,5.6
TR-03,2024-09-25,6446,3.4
TR-03,2026-05-07,20582,5.9
TR-01,2027-09-23,32674,2.8
TR-04,2027-05-27,29829,2.6
TR-03,2025-09-23,15164,4.2
TR-04,2025-08-14,14196,4.0
TR-02,2027-11-16,33962,5.6
TR-03,2026-02-08,18461,3.6
TR-05,2028-11-15,42736,2.9
TR-01,2028-04-29,37936,3.4
TR-05,2029-10-17,50798,4.5
TR-05,2027-12-07,34470,2.9
TR-04,2029-02-21,45080,5.4
TR-05,2029-04-23,46548,3.5
TR-02,2029-06-12,47736,5.4
TR-05,2027-02-09,27255,4.6
TR-04,2029-05-06,46869,4.9
TR-04,2024-11-13,7612,5.9
TR-05,2024-04-09,2392,4.7
TR-03,2029-04-14,46338,4.3
TR-03,2024-06-23,4197,5.4
TR-01,2028-05-24,38524,5.0
TR-04,2026-01-06,17682,5.7
TR-05,2027-04-18,28892,4.8
TR-02,2029-05-18,47146,5.1
TR-03,2024-05-19,3343,4.9
TR-02,2026-11-01,24840,2.9
TR-05,2029-01-29,44535,2.9
TR-05,2025-10-13,15636,2.8
TR-01,2027-04-16,28834,2.8
TR-01,2024-03-28,2094,5.8
TR-01,2027-11-12,33864,5.0
TR-04,2026-09-30,24091,4.3
TR-05,2024-03-25,2029,3.9
TR-03,2027-06-27,30564,5.1
TR-04,2028-05-04,38042,4.7
TR-04,2026-07-20,22356,4.8
TR-04,2026-05-30,21132,3.1
TR-03,2026-10-04,24174,4.4
TR-01,2024-09-18,6270,3.7
TR-01,2025-01-09,8987,2.5
TR-04,2028-08-19,40608,2.9
TR-01,2024-02-02,778,4.3
TR-04,2026-04-05,19823,5.5
TR-01,2026-09-26,23978,5.6
TR-05,2026-06-29,21842,4.5
TR-04,2024-07-17,4767,5.4
TR-04,2028-05-30,38680,2.6
TR-05,2028-07-25,40008,3.3
TR-02,2027-06-15,30271,3.7
TR-02,2024-05-04,2981,5.4
TR-03,2026-10-18,24517,3.6
TR-01,2029-03-11,45513,4.7
TR-02,2025-07-17,13535,3.1
TR-01,2026-02-09,18498,5.8
TR-04,2028-01-03,35114,5.9
TR-03,2027-12-03,34375,2.6
TR-04,2029-04-17,46401,3.8
TR-04,2025-06-06,12530,3.7
TR-05,2025-11-08,16268,3.4
TR-05,2029-02-23,45140,2.8
TR-05,2025-01-14,9117,4.8
TR-02,2026-10-09,24293,3.7
TR-05,2029-09-01,49682,4.7
TR-04,2027-12-28,34969,4.9
TR-05,2027-10-22,33370,2.7
TR-05,2024-06-26,4254,5.4
TR-05,2027-01-30,27010,5.3
TR-04,2025-04-27,11573,4.1
TR-05,2028-04-19,37699,5.4
TR-04,2027-10-29,33542,4.2
TR-03,2024-02-01,750,3.1
TR-05,2026-04-09,19900,4.2
TR-05,2027-07-22,31163,3.9
TR-05,2029-10-05,50503,5.1
TR-03,2028-11-16,42764,3.9
TR-05,2027-11-01,33600,5.1
TR-03,2027-02-11,27297,4.3
TR-03,2028-08-06,40309,5.3
TR-05,2028-06-28,39360,5.6
TR-01,2026-09-09,23586,4.3
TR-02,2024-03-27,2079,4.2
TR-03,2029-02-28,45250,5.3
TR-02,2025-07-26,13733,4.9
TR-03,2029-02-19,45039,5.4
TR-02,2026-04-15,20054,4.6
TR-02,2029-04-23,46547,2.7
TR-04,2027-10-17,33243,4.1
TR-02,2025-10-16,15710,2.6
TR-03,2028-07-02,39477,3.9
TR-02,2027-11-30,34316,5.7
TR-02,2027-09-16,32518,5.3
TR-03,2027-10-31,33596,2.5
TR-01,2028-05-10,38200,4.4
TR-03,2024-04-20,2644,4.0
TR-05,2024-07-18,4796,3.0
TR-02,2027-09-11,32399,2.8
TR-01,2028-11-21,42870,4.2
TR-04,2026-03-20,19420,4.2
TR-02,2029-06-23,48010,3.3
TR-01,2027-12-27,34953,3.4
TR-01,2024-10-15,6927,5.0
TR-03,2025-01-17,9170,5.9
TR-02,2026-01-18,17960,2.8
TR-05,2027-12-20,34799,2.6
TR-02,2026-07-24,22461,3.0
TR-01,2024-12-14,8367,3.1
TR-05,2026-03-18,19382,4.8
TR-04,2025-05-02,11695,5.5
TR-03,2026-09-21,23865,6.0
TR-05,2026-01-07,17693,3.3
TR-03,2025-08-23,14404,5.8
TR-01,2026-10-04,24176,5.1
TR-01,2025-06-11,12658,4.5
TR-03,2029-02-09,44793,5.9
TR-05,2029-07-12,48476,3.6
TR-04,2025-08-25,14453,4.2
TR-04,2026-03-03,19013,3.1
TR-03,2025-10-15,15683,3.7
TR-05,2025-12-08,16980,4.7
TR-02,2028-04-02,37288,5.0
TR-04,2027-12-22,34846,3.2
TR-05,2027-04-30,29177,5.3
TR-04,2029-05-27,47364,4.1
TR-05,2026-04-24,20258,3.9
