equipment_code;date_panne;heures_fonct;duree_rep_h
TR-01;2024-01-05;520;3.5
TR-02;2024-02-11;610;4.2
TR-03;2024-02-20;430;5.0
TR-01;2024-03-10;890;2.8
TR-02;2024-03-18;1200;3.7
TR-03;2024-03-25;870;4.0
TR-01;2024-04-02;1330;3.4
TR-02;2024-04-12;1420;5.6
TR-03;2024-04-22;960;4.3
TR-01;2024-05-06;1750;2.9
TR-02;2024-05-10;1930;3.2
TR-03;2024-05-20;1190;4.1
TR-01;2024-06-01;2200;3.0
TR-02;2024-06-12;2470;4.5
TR-03;2024-06-25;1400;3.8
TR-01;2024-07-10;2650;2.6
TR-02;2024-07-21;2700;3.9
TR-03;2024-07-30;1610;5.2
TR-01;2024-08-05;3100;3.1
TR-02;2024-08-12;3220;4.0
