equipment_code,ttf_h,heures_fonct,date_panne
TR-04,754.3,60598.600000000006,2030-11-29 22:36
TR-01,125.7,27184.200000000008,2027-02-06 16:12
TR-04,389.3,45808.20000000001,2029-03-23 16:12
TR-04,41.4,43799.00000000001,2028-12-29 23:00
TR-03,211.8,29332.900000000005,2027-05-07 04:54
TR-05,164.1,44174.49999999998,2029-01-14 14:29
TR-02,135.0,12469.300000000001,2025-06-03 13:18
TR-05,169.3,87014.29999999999,2033-12-04 14:17
TR-04,739.8,2427.3999999999996,2024-04-11 03:23
TR-02,592.3,58864.89999999999,2030-09-18 16:53
TR-05,271.0,56898.5,2030-06-28 18:30
TR-05,377.1,26892.2,2027-01-25 12:12
TR-02,321.6,23495.09999999999,2026-09-05 23:05
TR-01,461.5,43452.299999999996,2028-12-15 12:17
TR-04,976.5,82834.19999999995,2033-06-13 10:11
TR-05,472.5,50913.79999999999,2029-10-22 09:47
TR-02,683.1,72420.40000000001,2032-04-05 12:24
TR-03,30.2,24091.0,2026-09-30 19:00
TR-05,713.3,52358.1,2029-12-21 14:06
TR-03,301.3,21300.999999999996,2026-06-06 12:59
TR-01,433.7,52937.999999999985,2030-01-14 17:59
TR-04,1048.6,51049.700000000004,2029-10-28 01:42
TR-01,63.4,20892.90000000001,2026-05-20 12:54
TR-05,499.1,61504.799999999996,2031-01-06 16:47
TR-02,260.0,17233.1,2025-12-19 01:05
TR-04,683.5,98399.39999999995,2035-03-23 23:23
TR-02,258.1,54351.19999999998,2030-03-14 15:11
TR-05,825.6,3672.1,2024-06-02 00:06
TR-03,134.5,18740.899999999994,2026-02-19 20:53
TR-02,224.5,44858.79999999999,2029-02-12 02:47
TR-03,11.0,19247.699999999997,2026-03-12 23:41
TR-01,90.9,4253.499999999999,2024-06-26 05:29
TR-05,303.9,38257.59999999999,2028-05-13 01:35
TR-05,121.7,24545.500000000004,2026-10-19 17:30
TR-01,392.1,51373.89999999999,2029-11-10 13:53
TR-03,268.4,26306.800000000003,2027-01-01 02:48
TR-02,415.2,67991.59999999999,2031-10-03 23:35
TR-03,42.2,33774.9,2027-11-08 06:54
TR-05,133.8,72563.29999999999,2032-04-11 11:17
TR-05,133.2,21549.600000000002,2026-06-16 21:36
TR-02,354.2,57044.599999999984,2030-07-04 20:35
TR-01,586.6,39383.90000000001,2028-06-28 23:54
TR-03,182.6,15601.299999999997,2025-10-12 01:17
TR-05,537.4,13972.0,2025-08-05 04:00
TR-02,233.4,12227.7,2025-05-24 11:42
TR-05,553.9,50239.999999999985,2029-09-24 07:59
TR-04,617.0,43215.40000000001,2028-12-05 15:24
TR-03,196.4,38563.1,2028-05-25 19:06
TR-01,130.1,38797.30000000001,2028-06-04 13:18
TR-04,690.2,23277.600000000006,2026-08-27 21:36
TR-04,306.4,97715.89999999995,2035-02-23 11:53
TR-05,382.8,72429.49999999999,2032-04-05 21:29
TR-05,740.7,40739.69999999999,2028-08-24 11:41
TR-02,567.0,25209.299999999992,2026-11-16 09:17
TR-03,73.4,42129.700000000004,2028-10-21 09:42
TR-05,429.8,86844.99999999999,2033-11-27 12:59
TR-03,137.8,8473.199999999997,2024-12-19 01:11
TR-05,367.4,83561.79999999999,2033-07-13 17:47
TR-01,252.6,35519.20000000001,2028-01-19 23:12
TR-05,372.8,49566.599999999984,2029-08-27 06:35
TR-03,5.7,24060.8,2026-09-29 12:48
TR-05,323.0,24423.800000000003,2026-10-14 15:48
TR-01,69.1,1609.3999999999999,2024-03-08 01:23
TR-04,550.3,59318.9,2030-10-07 14:54
TR-02,106.6,12334.300000000001,2025-05-28 22:18
TR-05,833.1,28647.1,2027-04-08 15:06
TR-01,461.1,9254.099999999999,2025-01-20 14:05
TR-03,11.4,24170.300000000003,2026-10-04 02:18
TR-02,21.8,23516.89999999999,2026-09-06 20:53
TR-05,451.3,8051.8,2024-12-01 11:48
TR-05,587.0,21416.4,2026-06-11 08:24
TR-04,490.0,44634.700000000004,2029-02-02 18:42
TR-05,555.2,11338.5,2025-04-17 10:30
TR-03,70.5,35204.200000000004,2028-01-06 20:12
TR-04,301.6,8352.9,2024-12-14 00:54
TR-02,43.7,51402.69999999998,2029-11-11 18:41
TR-05,1463.9,17792.9,2026-01-11 08:54
TR-04,966.2,78778.39999999997,2032-12-26 10:23
TR-01,642.0,814.4,2024-02-03 22:24
TR-01,66.0,46265.3,2029-04-11 17:18
TR-05,1471.1,30517.199999999997,2027-06-25 13:11
TR-04,424.3,72907.79999999999,2032-04-25 19:47
TR-01,430.6,18878.300000000003,2026-02-25 14:18
TR-01,43.0,20662.40000000001,2026-05-10 22:24
TR-01,123.9,47801.6,2029-06-14 17:36
TR-05,309.5,64461.299999999996,2031-05-09 21:17
TR-04,91.0,17973.400000000005,2026-01-18 21:24
TR-05,567.1,54938.299999999996,2030-04-08 02:17
TR-02,433.8,40190.99999999999,2028-08-01 14:59
TR-03,304.1,34656.9,2027-12-15 00:54
TR-05,307.0,64151.799999999996,2031-04-26 23:47
TR-02,43.0,72896.70000000001,2032-04-25 08:42
TR-04,308.2,32743.500000000007,2027-09-26 07:30
TR-01,374.1,25017.800000000007,2026-11-08 09:48
TR-01,220.0,34035.900000000016,2027-11-19 03:54
TR-05,294.1,76566.3,2032-09-25 06:18
TR-03,85.5,39335.9,2028-06-26 23:54
TR-05,251.8,4869.200000000001,2024-07-21 21:12
TR-01,251.2,24643.700000000008,2026-10-23 19:42
TR-02,797.7,3856.8,2024-06-09 16:48
TR-03,627.5,29960.400000000005,2027-06-02 08:24
TR-03,235.9,15837.199999999997,2025-10-21 21:11
TR-02,991.4,5162.1,2024-08-03 02:06
TR-01,15.4,2768.2,2024-04-25 08:12
TR-01,159.7,5709.499999999999,2024-08-25 21:29
TR-04,525.4,59844.3,2030-10-29 12:18
TR-02,338.2,70202.4,2032-01-04 02:23
TR-01,431.5,48570.4,2029-07-16 18:24
TR-02,222.7,57542.79999999998,2030-07-25 14:47
TR-01,337.3,48138.9,2029-06-28 18:54
TR-01,142.5,22048.200000000008,2026-07-07 16:12
TR-05,503.9,20705.800000000003,2026-05-12 17:48
TR-02,63.4,57606.19999999998,2030-07-28 06:11
TR-05,364.7,49193.79999999998,2029-08-11 17:47
TR-05,170.2,37389.79999999999,2028-04-06 21:47
TR-04,271.1,31236.200000000004,2027-07-25 12:12
TR-04,473.5,30965.100000000006,2027-07-14 05:06
TR-01,134.6,15689.300000000001,2025-10-15 17:18
TR-01,38.2,7382.899999999999,2024-11-03 14:53
TR-01,297.7,6930.699999999998,2024-10-15 18:41
TR-01,216.5,23593.200000000008,2026-09-10 01:12
TR-04,199.0,87560.89999999995,2033-12-27 08:53
TR-05,500.1,27392.3,2027-02-15 08:18
TR-03,108.7,40209.2,2028-08-02 09:12
TR-03,259.4,26658.000000000004,2027-01-15 18:00
TR-04,846.4,81857.69999999995,2033-05-03 17:41
TR-05,457.6,73020.9,2032-04-30 12:53
TR-03,1246.2,13693.099999999999,2025-07-24 13:05
TR-05,1081.2,48228.89999999998,2029-07-02 12:53
TR-02,569.1,9431.300000000001,2025-01-27 23:18
TR-02,334.7,76051.70000000003,2032-09-03 19:42
TR-03,972.3,4073.3999999999996,2024-06-18 17:23
TR-05,333.9,76900.2,2032-10-09 04:12
TR-03,80.0,21380.999999999996,2026-06-09 20:59
TR-03,808.9,28128.300000000007,2027-03-18 00:18
TR-01,362.5,35881.70000000001,2028-02-04 01:42
TR-03,710.3,18606.399999999994,2026-02-14 06:23
TR-01,444.8,31729.90000000001,2027-08-15 01:54
TR-05,123.6,20829.4,2026-05-17 21:24
TR-03,188.1,9012.799999999997,2025-01-10 12:47
TR-03,173.1,1081.6,2024-02-15 01:35
TR-01,94.7,12091.800000000003,2025-05-18 19:48
TR-01,306.0,22853.300000000007,2026-08-10 05:18
TR-04,658.4,52320.50000000001,2029-12-20 00:30
TR-01,47.2,9432.9,2025-01-28 00:54
TR-01,224.2,25242.000000000007,2026-11-17 18:00
TR-01,250.7,4720.0999999999985,2024-07-15 16:05
TR-03,258.7,42993.3,2028-11-26 09:18
TR-05,484.4,86322.39999999998,2033-11-05 18:23
TR-03,552.2,24055.1,2026-09-29 07:06
TR-03,9.1,30596.300000000003,2027-06-28 20:18
TR-03,98.1,39588.4,2028-07-07 12:24
TR-02,264.1,78329.90000000004,2032-12-07 17:54
TR-05,52.5,45524.599999999984,2029-03-11 20:35
TR-02,85.6,41601.59999999999,2028-09-29 09:35
TR-05,385.7,67132.89999999998,2031-08-29 04:53
TR-02,480.8,35471.499999999985,2028-01-17 23:29
TR-05,97.9,1618.3000000000002,2024-03-08 10:18
TR-02,432.8,78762.70000000004,2032-12-25 18:42
TR-02,422.3,84422.20000000004,2033-08-18 14:12
TR-02,80.9,14295.799999999997,2025-08-18 15:47
TR-04,295.7,67752.19999999998,2031-09-24 00:11
TR-05,303.7,16171.900000000001,2025-11-04 19:54
TR-05,861.4,32375.7,2027-09-10 23:42
TR-02,147.3,85095.90000000004,2033-09-15 15:54
TR-04,575.6,57615.4,2030-07-28 15:24
TR-01,41.1,27898.90000000001,2027-03-08 10:54
TR-03,105.9,34129.200000000004,2027-11-23 01:12
TR-01,94.2,4162.599999999999,2024-06-22 10:35
TR-04,287.8,89699.59999999996,2034-03-26 11:35
TR-03,69.9,24240.200000000004,2026-10-07 00:12
TR-03,837.2,12197.699999999999,2025-05-23 05:41
TR-01,398.8,13243.500000000002,2025-07-05 19:30
TR-03,39.5,43553.6,2028-12-19 17:36
TR-01,328.2,2752.7999999999997,2024-04-24 16:47
TR-01,486.3,19470.400000000005,2026-03-22 06:24
TR-05,1480.3,59579.5,2030-10-18 11:30
TR-05,521.4,39998.99999999999,2028-07-24 14:59
TR-03,91.8,26398.600000000002,2027-01-04 22:36
TR-04,209.6,26437.800000000007,2027-01-06 13:48
TR-02,109.3,24132.999999999993,2026-10-02 12:59
TR-02,22.3,28791.099999999988,2027-04-14 15:05
TR-03,97.5,25905.300000000003,2026-12-15 09:18
TR-03,162.4,12417.399999999998,2025-06-01 09:23
TR-04,1492.7,69244.89999999998,2031-11-25 04:53
TR-05,671.4,66356.99999999999,2031-07-27 20:59
TR-02,303.0,40856.99999999999,2028-08-29 08:59
TR-01,141.4,46406.700000000004,2029-04-17 14:42
TR-03,194.1,16489.699999999997,2025-11-18 01:41
TR-02,483.4,6977.8,2024-10-17 17:48
TR-03,160.6,48129.19999999999,2029-06-28 09:11
TR-04,720.7,49912.00000000001,2029-09-10 16:00
TR-01,709.9,13953.400000000001,2025-08-04 09:24
TR-03,433.5,16295.599999999997,2025-11-09 23:35
TR-01,103.4,6404.499999999998,2024-09-23 20:29
TR-01,260.8,14753.900000000001,2025-09-06 17:54
TR-05,485.3,84549.7,2033-08-23 21:42
TR-05,125.5,56627.5,2030-06-17 11:30
TR-04,838.2,24885.700000000008,2026-11-02 21:42
TR-03,261.9,19095.699999999997,2026-03-06 15:41
TR-01,344.4,9777.3,2025-02-11 09:18
TR-05,61.9,82297.0,2033-05-22 01:00
TR-01,119.7,41549.3,2028-09-27 05:18
TR-05,558.7,87572.99999999999,2033-12-27 20:59
TR-04,700.4,67456.49999999999,2031-09-11 16:29
TR-02,59.0,37537.19999999999,2028-04-13 01:11
TR-04,250.1,89411.79999999996,2034-03-14 11:47
TR-02,202.7,7525.6,2024-11-09 13:36
TR-02,304.8,49731.19999999999,2029-09-03 03:11
TR-02,995.7,42597.29999999999,2028-11-09 21:17
TR-05,32.5,68762.49999999999,2031-11-05 02:29
TR-02,360.0,87155.60000000003,2033-12-10 11:36
TR-03,40.5,20466.499999999996,2026-05-02 18:29
TR-01,517.9,31050.80000000001,2027-07-17 18:48
